"State,FirstName,LastName,Party,Twitter_Username"
"Alabama,Richard,Shelby,Republican,SenShelby"
"Alabama,Doug,Jones,Democratic,SenDougJones"
"Alaska,Lisa,Murkowski,Republican,lisamurkowski"
"Alaska,Dan,Sullivan,Republican,SenDanSullivan"
"Arizona,Kyrsten,Sinema,Democratic,SenatorSinema"
"Arizona,Martha,McSally,Republican,SenMcSallyAZ"
"Arkansas,John,Boozman,Republican,JohnBoozman"
"Arkansas,Tom,Cotton,Republican,SenTomCotton"
"California,Dianne,Feinstein,Democratic,SenFeinstein"
"California,Kamala,Harris,Democratic,KamalaHarris"
"Colorado,Michael,Bennet,Democratic,SenatorBennet"
"Colorado,Cory,Gardner,Republican,SenCoryGardner"
"Connecticut,Richard,Blumenthal,Democratic,SenBlumenthal"
"Connecticut,Chris,Murphy,Democratic,ChrisMurphyCT"
"Delaware,Tom,Carper,Democratic,SenatorCarper"
"Delaware,Chris,Coons,Democratic,ChrisCoons"
"Florida,Marco,Rubio,Republican,marcorubio"
"Florida,Rick,Scott,Republican,SenRickScott"
"Georgia,David,Perdue,Republican,sendavidperdue"
"Georgia,Kelly,Loeffler,Republican,KLoeffler"
"Hawaii,Mazie,Hirono,Democratic,maziehirono"
"Hawaii,Brian,Schatz,Democratic,brianschatz"
"Idaho,Mike,Crapo,Republican,MikeCrapo"
"Idaho,Jim,Risch,Republican,SenatorRisch"
"Illinois,Dick,Durbin,Democratic,SenatorDurbin"
"Illinois,Tammy,Duckworth,Democratic,SenDuckworth"
"Indiana,Todd,Young,Republican,SenToddYoung"
"Indiana,Mike,Braun,Republican,SenatorBraun"
"Iowa,Chuck,Grassley,Republican,ChuckGrassley"
"Iowa,Joni,Ernst,Republican,SenJoniErnst"
"Kansas,Pat,Roberts,Republican,SenPatRoberts"
"Kansas,Jerry,Moran,Republican,JerryMoran"
"Kentucky,Mitch,McConnell,Republican,LeaderMcConnell"
"Kentucky,Rand,Paul,Republican,RandPaul"
"Louisiana,Bill,Cassidy,Republican,BillCassidy"
"Louisiana,John,Kennedy,Republican,SenJohnKennedy"
"Maine,Susan,Collins,Republican,SenatorCollins"
"Maine,Angus,King,Independent,SenAngusKing"
"Maryland,Ben,Cardin,Democratic,SenatorCardin"
"Maryland,Chris,Van Hollen,Democratic,ChrisVanHollen"
